▁ 誰が 一番 に着く か 私には 分かりません 。	▁ 誰が 一番 に着く か 私には 分かりません 。
▁多くの 動物 が 人間 によって 滅 ぼ された 。	▁多くの 動物 が 人間 によって 殺された 。
▁私は テニス 部員 です 。	▁私は テニス 部員 です 。
▁エ ミ は 幸せ そうに 見えます 。	▁エ ミ は 幸せ そうに 見えます 。
▁この 事実を 心に 留め ておいて 下さい 。	▁この 事実を 覚えて おいてください 。
▁彼女は 私たちの 世話 を してくれる 。	▁彼女は 私たちの 世話 を してくれる 。
▁ 私達 は 国際 人 になりたい と思います 。	▁私たちは 国際 人 になりたい と思います 。
▁ 約束を 破 るべき ではありません 。	▁ 約束を 破 るべき ではありません 。
▁ 道路 を 横 切る ときは 車 に注意 しなさい 。	▁ 道路 を 渡る 時は 車 に注意 しなさい 。
▁ 私には 生き 甲斐 がない 。	▁ 私には 生きる 上で の価値 がない 。
▁父は 私が 外国 へ行く ことを 承知 した 。	▁父は 私が 外国 へ行く ことを 許 した 。
▁ お弁当 食べた んでしょう 。	▁ お弁当 食べた んでしょう 。
▁彼の 小説 は 1 つ も 読んで いない 。	▁彼の 小説 は 1 つ も 読んで いない 。
▁彼は どこへ 行った ら いいか 分からなかった 。	▁彼は どこへ 行った ら いいか 分からなかった 。
▁彼女は 、 母親に 少し 似ている 。	▁彼女は 、 母に 少し 似ている 。
▁ 卑 屈 な 奴 。	▁自分の ことを ダメだ と考える 人 。
▁ 曇り の 日 です 。	▁ 曇り の 日 です 。
▁ 彼も それ を見た 。	▁ 彼も それ を見た 。
▁私は 音楽 が好き ではありません 。	▁私は 音楽 が好き ではありません 。
▁それは 本当の はずはない 。	▁それは 本当の はずはない 。
▁その 仕事 を引き受け ようか と思っている 。	▁その 仕事を 担当 しようか と思っている 。
▁ サッカー は 日本で 以前より も 今 人気 がある 。	▁ サッカー は 日本で 前 よりも 今 、 人気 がある 。
▁ 車が そんなに 混んで なければ 問題 ないでしょう 。	▁ 車が そんなに 混んで なければ 問題 ないでしょう 。
▁2 時間も 待た された 。	▁2 時間も 待った 。
▁ ボブ は 私の 友達 です 。	▁ ボブ は 私の 友達 です 。
▁ 気にしない ようにして いるんだ 。	▁ 気にしない ようにして いるんだ 。
▁ どうぞ 午後 に 私の 家へ 来て ください 。	▁ どうぞ 午後 に 私の 家へ 来て ください 。
▁ 車で どれくらい かかります か 。	▁ 車で どれくらい かかります か 。
▁私は 彼女が 子供のころ から 知っています 。	▁私は 彼女が 子供の頃 から 知っています 。
▁ 申告 する 物 は何 もありません 。	▁ 言って おく 物 は何 もありません 。
▁もう 夕食 は 済み ましたか 。	▁もう 夕食 は 食べ 終わりました か 。
▁あなたの 国 では 雪 がたくさん 降り ますか 。	▁あなたの 国 では 雪 がたくさん 降り ますか 。
▁彼は いつも 父親の 陰 口を 言います 。	▁彼は いつも 父の いない ところで 悪いこと を 言います 。
▁ それについて どう 思った 。	▁ それについて どう 思った 。
▁ 的 を外して しまった 。	▁対象 に 当 た らなかった 。
▁いい 年 して そんな 馬鹿な まね よせ 。	▁いい 年 して そんな 馬鹿な ことは やめろ 。
▁彼女は 大変 忙 しかった 。	▁彼女は 大変 忙 しかった 。
▁彼は 危険 を ものと もしない 。	▁彼は 危険 を ものと もしない 。
▁ 何時 でしょうか 。	▁ 何時 でしょうか 。
▁彼女は もう少し で 遅刻 する ところだった 。	▁彼女は もう少し で 遅れる ところだった 。
▁とても 好きです 。	▁とても 好きです 。
▁今の を もう一度 言って いただける 。	▁今の を もう 1 度 言って いただける 。
▁ 行きたい 学校 に入れて よかった ね 。	▁ 行きたい 学校 に入れて よかった ね 。
▁電話 を切ら ずに そのまま 待って ください 。	▁電話 を切ら ずに そのまま 待って ください 。
▁彼女は 時々 酒を飲む 。	▁彼女は 時々 お 酒を飲む 。
▁彼らは まともに 私の 顔を見 られなかった 。	▁彼らは ちゃんと 私の 顔を見 られなかった 。
▁彼の 話は 奇妙 に 聞こえる 。	▁彼の 話は おかしく 聞こえる 。
▁彼女は 自分の 車を 自慢 している 。	▁彼女は 自分の 車を 自慢 している 。
▁それは 、 おまえの 声を よく 聞く ため だよ 。	▁それは 、 あなたの 声を よく 聞く ため だよ 。
▁ クラスの 男の子 の数は 30 人です 。	▁ クラスの 少年 の数は 30 人です 。
▁あ す は 歴史 の 試験 を受け なくてはならない 。	▁明日は 歴史 の 試験 を受け なくてはならない 。
▁私の 計画 に反対 ですか 。	▁私の 計画 に反対 ですか 。
▁ 一年 分の おこ づかい を 先に 渡 しておく 。	▁1 年 分の 自由に 使える お金を 先に あげて おく 。
▁ 子供たち を 学校 に連れて 行った 。	▁ 子供たち を 学校 に連れて 行った 。
▁ 恐れ る な 。	▁ 怖 が る な 。
▁父は 今 家に いる だろう 。	▁父は 今 家に いる だろう 。
▁彼は 以前は 羽 振り が よかった 。	▁彼は 前 は 思い の ままに お金 を使った 。
▁私たちは ロンドン で 知り合った 。	▁私たちは ロンドン で お互い を知った 。
▁ここでは 自由に 振る舞 って いいですよ 。	▁ここでは 自由に して いいですよ 。
▁これらの 靴 は 私の 物 だ 。	▁これらの 靴 は 私の 物 だ 。
▁ 向こう に着いた ら 手紙を 下さい 。	▁ 向こう に着いた ら 手紙を ください 。
▁ 一週間 の 休み をとった 。	▁1 週間 の 休み をとった 。
▁私は 釣り に行く つもりだった のですが 。	▁私は 釣り に行く つもりだった のですが 。
▁彼女は 、 ひとこと も わからなかった 。	▁彼女は 、 少し の言葉 も わからなかった 。
▁何 の ことを言っている の ?	▁何 の ことを言っている の ?
▁彼は 私 を頼りに している 。	▁彼は 私を 頼 っている 。
▁彼は アメリカの 婦人 と結婚 している 。	▁彼は アメリカの 女性 と結婚 している 。
▁ 猫 は 木 をかけ 登った 。	▁ 猫 は 木 を 走って 登った 。
▁彼は 何でも 、 し った かぶり する 。	▁彼は 何でも 、 知っている ように 見せる 。
▁ ジョン は 駅 の方へ と 歩いている 。	▁ ジョン は 駅 の方へ と 歩いている 。
▁ そんなに 怒る 必要はない 。	▁ そんなに 怒る 必要はない 。
▁ 後で 、 折り返し 電話 する わ 。	▁ 後で 、 すぐに 電話 する わ 。
