誰 が 一番 に 着く か 私 に は 分かり ませ ん 。 	誰 が 一番 に 着く か 私 に は 分かり ませ ん 。 
多く の 動物 が 人間 に よっ て 滅ぼさ れ た 。 	多く の 動物 が 人間 に よっ て 殺さ れ た 。 
私 は テニス 部 員 です 。 	私 は テニス 部 員 です 。 
エミ は 幸せ そう に 見え ます 。 	エミ は 幸せ そう に 見え ます 。 
この 事実 を 心 に 留め て おい て 下さい 。 	この 事実 を 覚え て おい て ください 。 
彼女 は 私 たち の 世話 を し て くれる 。 	彼女 は 私 たち の 世話 を し て くれる 。 
私 達 は 国際 人 に なり たい と 思い ます 。 	私 たち は 国際 人 に なり たい と 思い ます 。 
約束 を 破る べき で は あり ませ ん 。 	約束 を 破る べき で は あり ませ ん 。 
道路 を 横切る とき は 車 に 注意 し なさい 。 	道路 を 渡る 時 は 車 に 注意 し なさい 。 
私 に は 生き甲斐 が ない 。 	私 に は 生きる 上 で の 価値 が ない 。 
父 は 私 が 外国 へ 行く こと を 承知 し た 。 	父 は 私 が 外国 へ 行く こと を 許し た 。 
お 弁当 食べ た ん でしょう 。 	お 弁当 食べ た ん でしょう 。 
彼 の 小説 は １ つ も 読ん で い ない 。 	彼 の 小説 は １ つ も 読ん で い ない 。 
彼 は どこ へ 行っ たら いい か 分から なかっ た 。 	彼 は どこ へ 行っ たら いい か 分から なかっ た 。 
彼女 は 、 母親 に 少し 似 て いる 。 	彼女 は 、 母 に 少し 似 て いる 。 
卑屈 な 奴 。 	自分 の こと を ダメ だ と 考える 人 。 
曇り の 日 です 。 	曇り の 日 です 。 
彼 も それ を 見 た 。 	彼 も それ を 見 た 。 
私 は 音楽 が 好き で は あり ませ ん 。 	私 は 音楽 が 好き で は あり ませ ん 。 
それ は 本当 の はず は ない 。 	それ は 本当 の はず は ない 。 
その 仕事 を 引き受けよう か と 思っ て いる 。 	その 仕事 を 担当 しよう か と 思っ て いる 。 
サッカー は 日本 で 以前 より も 今 人気 が ある 。 	サッカー は 日本 で 前 より も 今 、 人気 が ある 。 
車 が そんな に 混ん で なけれ ば 問題 ない でしょう 。 	車 が そんな に 混ん で なけれ ば 問題 ない でしょう 。 
２ 時間 も 待たさ れ た 。 	２ 時間 も 待っ た 。 
ボブ は 私 の 友達 です 。 	ボブ は 私 の 友達 です 。 
気 に し ない よう に し て いる ん だ 。 	気 に し ない よう に し て いる ん だ 。 
どうぞ 午後 に 私 の 家 へ 来 て ください 。 	どうぞ 午後 に 私 の 家 へ 来 て ください 。 
車 で どれ くらい かかり ます か 。 	車 で どれ くらい かかり ます か 。 
私 は 彼女 が 子供 の ころ から 知っ て い ます 。 	私 は 彼女 が 子供 の 頃 から 知っ て い ます 。 
申告 する 物 は 何 も あり ませ ん 。 	言っ て おく 物 は 何 も あり ませ ん 。 
もう 夕食 は 済み まし た か 。 	もう 夕食 は 食べ 終わり まし た か 。 
あなた の 国 で は 雪 が たくさん 降り ます か 。 	あなた の 国 で は 雪 が たくさん 降り ます か 。 
彼 は いつ も 父親 の 陰口 を 言い ます 。 	彼 は いつ も 父 の い ない ところ で 悪い こと を 言い ます 。 
それ に つい て どう 思っ た 。 	それ に つい て どう 思っ た 。 
的 を 外し て しまっ た 。 	対象 に 当たら なかっ た 。 
いい 年 し て そんな 馬鹿 な まね よせ 。 	いい 年 し て そんな 馬鹿 な こと は やめろ 。 
彼女 は 大変 忙しかっ た 。 	彼女 は 大変 忙しかっ た 。 
彼 は 危険 を もの と も し ない 。 	彼 は 危険 を もの と も し ない 。 
何 時 でしょう か 。 	何 時 でしょう か 。 
彼女 は もう 少し で 遅刻 する ところ だっ た 。 	彼女 は もう 少し で 遅れる ところ だっ た 。 
とても 好き です 。 	とても 好き です 。 
今 の を もう 一 度 言っ て いただける 。 	今 の を もう １ 度 言っ て いただける 。 
行き たい 学校 に 入れ て よかっ た ね 。 	行き たい 学校 に 入れ て よかっ た ね 。 
電話 を 切ら ず に その まま 待っ て ください 。 	電話 を 切ら ず に その まま 待っ て ください 。 
彼女 は 時々 酒 を 飲む 。 	彼女 は 時々 お 酒 を 飲む 。 
彼 ら は まとも に 私 の 顔 を 見 られ なかっ た 。 	彼 ら は ちゃんと 私 の 顔 を 見 られ なかっ た 。 
彼 の 話 は 奇妙 に 聞こえる 。 	彼 の 話 は おかしく 聞こえる 。 
彼女 は 自分 の 車 を 自慢 し て いる 。 	彼女 は 自分 の 車 を 自慢 し て いる 。 
それ は 、 おまえ の 声 を よく 聞く ため だ よ 。 	それ は 、 あなた の 声 を よく 聞く ため だ よ 。 
クラス の 男の子 の 数 は ３ ０ 人 です 。 	クラス の 少年 の 数 は ３ ０ 人 です 。 
あす は 歴史 の 試験 を 受け なく て は なら ない 。 	明日 は 歴史 の 試験 を 受け なく て は なら ない 。 
私 の 計画 に 反対 です か 。 	私 の 計画 に 反対 です か 。 
一 年 分 の お こづかい を 先 に 渡し て おく 。 	１ 年 分 の 自由 に 使える お 金 を 先 に あげ て おく 。 
子供 たち を 学校 に 連れ て 行っ た 。 	子供 たち を 学校 に 連れ て 行っ た 。 
恐れる な 。 	怖 がる な 。 
父 は 今 家 に いる だろう 。 	父 は 今 家 に いる だろう 。 
彼 は 以前 は 羽振り が よかっ た 。 	彼 は 前 は 思い の まま に お 金 を 使っ た 。 
私 たち は ロンドン で 知り合っ た 。 	私 たち は ロンドン で お 互い を 知っ た 。 
ここ で は 自由 に 振る舞っ て いい です よ 。 	ここ で は 自由 に し て いい です よ 。 
これ ら の 靴 は 私 の 物 だ 。 	これ ら の 靴 は 私 の 物 だ 。 
向こう に 着い たら 手紙 を 下さい 。 	向こう に 着い たら 手紙 を ください 。 
一 週間 の 休み を とっ た 。 	１ 週間 の 休み を とっ た 。 
私 は 釣り に 行く つもり だっ た の です が 。 	私 は 釣り に 行く つもり だっ た の です が 。 
彼女 は 、 ひとこと も わから なかっ た 。 	彼女 は 、 少し の 言葉 も わから なかっ た 。 
何 の こと を 言っ て いる の ？ 	何 の こと を 言っ て いる の ？ 
彼 は 私 を 頼り に し て いる 。 	彼 は 私 を 頼っ て いる 。 
彼 は アメリカ の 婦人 と 結婚 し て いる 。 	彼 は アメリカ の 女性 と 結婚 し て いる 。 
